MCA_ch Resolution MCA_ch_error Resolution_error
1452.9906683702668 3.141509558576204 3.141509558576204 0.009760711124288553
1689.357801248906 3.267483615801284 3.267483615801284 0.03472859901907712
1828.229959425114 3.319151096928983 3.319151096928983 0.02781032540461692
3555.394139289011 3.905219921789919 3.905219921789919 0.015753456466240164
4434.746474052303 4.193013714145492 4.193013714145492 0.026755232963070738
4654.664610164821 4.092632440409798 4.092632440409798 0.182970658723114
4789.8259335575285 4.270845735485948 4.270845735485948 0.08947321023545221
5247.610566902027 4.486178674626028 4.486178674626028 0.034345203656941756
9885.515835437665 6.027344607841198 6.027344607841198 0.10109153259399817
15948.970765308659 7.0670317574363155 7.0670317574363155 0.04051398650388441
