Energy Residual Energy_error Residual_error
80.9971 0.8500061727070661 0.0014 0.3105092038000704
121.7817 1.1078999057812369 0.0003 0.29573282020167896
238.632 -0.022095550538696763 0.002 0.25891860762470664
244.6974 0.7282960620330733 0.0008 0.25703365674072665
276.398 -0.2546042888303897 0.002 0.24894031608756842
277.37 -0.15406090717714827 0.02 0.2767471381461828
300.089 -0.47770007696568334 0.012 0.25375808188941434
302.853 -0.35176418389261926 0.001 0.24242343712496964
344.2785 0.6314418030252174 0.0012 0.23392306111930716
356.017 -0.49321218881017564 0.002 0.23197250021002733
383.851 -0.5694273556493659 0.003 0.22792630563513908
583.187 -1.0992634614737438 0.002 0.22204576694871553
727.33 -1.2821502104442566 0.01 0.25383743643080836
763.45 -0.8857740437870805 0.02 0.2832607235812074
778.904 0.8398063384287582 0.0018 0.26006552267177135
785.37 -2.3442504661670585 0.09 0.6082476963027306
860.53 -1.6745247194872332 0.02 0.31021632571091035
867.378 0.9732114641006607 0.004 0.28840839102822635
964.079 1.2926620068443264 0.018 0.34047805958334015
1085.869 1.5913515913359166 0.024 0.3990916910981969
1112.074 1.4046034409901729 0.004 0.38314796136723234
1408.006 2.109882645170266 0.003 0.5162808869957586
1620.738 -1.7263420582771256 0.01 0.6210969030224684
2614.511 -0.19399191892253237 0.01 1.1173350589411069
